@relation wineQuality

@attribute fixedAcidity numeric
@attribute volatileAcidity numeric
@attribute citricAcid numeric
@attribute residualSugar numeric
@attribute chlorides numeric
@attribute freeSulfurDioxide numeric
@attribute totalSulfurDioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6
9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,6
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.066667,6
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6
9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6
6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6
8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,6
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6
7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,6
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6
6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,6
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6
6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6
9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6
7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6
6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.933333,6
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,6
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,6
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,6
6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,6
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6
7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,6
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,6
7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,6
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6
5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,6
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6
6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6
8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6
8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6
6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6
6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6
7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6
6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6
6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.066667,6
7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6
